neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
1,45,40.64354,-73.97777,0,89,3,62,0.71,1,189
2,42,40.76116,-73.99016,1,120,2,17,0.43,1,0
2,29,40.70763,-74.0105,0,470,2,5,1.88,327,272
2,25,40.79658,-73.93287,0,199,2,30,0.8,1,30
1,83,40.70698,-73.95406,0,170,1,141,3.05,1,28
1,83,40.71246,-73.96133,1,90,5,1,0.06,1,0
2,66,40.72214,-73.99793,0,150,2,89,1.94,1,55
0,75,40.81437,-73.82774,0,74,2,37,2.63,4,70
3,44,40.75078,-73.87949,2,28,1,4,2.11,4,354
2,27,40.72478,-73.97771,0,230,3,12,0.21,1,4
1,17,40.69353,-73.96784,1,48,1,2,0.05,1,0
1,34,40.68816,-73.97579,0,100,14,5,0.21,1,0
2,38,40.73267,-73.98259,1,100,3,1,0.03,1,0
1,5,40.69091,-73.94514,0,115,30,4,2.35,1,133
2,66,40.72635,-74.00298,1,94,1,1,0.04,1,0
1,40,40.72488,-73.94932,0,124,1,6,0.5,1,6
0,6,40.85505,-73.89238,1,40,2,28,6.72,1,84
2,41,40.80489,-73.95759,0,115,1,1,0.02,1,0
1,83,40.71471,-73.94045,0,250,1,87,1.23,1,272
2,82,40.72953,-74.00462,0,145,7,11,0.12,1,0
1,7,40.60951,-73.97642,2,79,1,15,0.43,6,180
1,83,40.70907,-73.96396,1,60,1,33,2.75,1,19
2,41,40.81798,-73.94157,1,40,30,2,0.38,103,246
2,27,40.72503,-73.97696,1,70,2,5,0.14,1,0
3,0,40.59399,-73.79693,0,300,1,67,1.34,1,344
1,40,40.7254,-73.94136,0,129,30,3,0.05,52,336
2,27,40.7282,-73.98001,1,75,1,159,4.34,1,84
1,60,40.67635,-73.97113,0,124,2,9,0.39,1,0
1,83,40.71279,-73.96291,1,80,2,6,0.16,1,0
2,81,40.84393,-73.93979,0,100,5,11,0.47,1,22
2,50,40.72207,-73.98726,0,99,1,11,1.46,1,0
2,25,40.81213,-73.93752,0,95,3,16,4.07,1,0
2,41,40.81829,-73.94686,0,175,2,34,0.98,1,75
1,12,40.70126,-73.92077,1,55,35,2,0.3,17,365
2,79,40.77605,-73.98833,0,190,30,4,0.63,25,363
2,41,40.80172,-73.95538,1,100,1,226,7.75,2,32
2,56,40.72244,-73.99461,0,250,1,9,0.75,1,0
2,50,40.7177,-73.98245,1,77,5,20,0.84,1,0
2,29,40.70436,-74.00927,0,500,5,16,3.78,1,298
2,41,40.81162,-73.95046,0,100,1,5,0.13,1,0
2,52,40.75349,-73.96545,1,160,2,107,5.73,1,49
2,42,40.75611,-73.99386,0,130,4,2,0.52,2,0
1,59,40.6688,-73.97865,1,139,1,184,3.86,4,0
2,42,40.76506,-73.98567,1,70,3,6,0.41,6,225
2,42,40.75925,-73.99375,0,225,1,63,4.83,1,357
2,74,40.76095,-73.98668,1,150,2,3,0.08,1,0
1,12,40.69414,-73.92477,0,98,2,7,3.33,1,4
1,37,40.66933,-73.99158,0,125,3,70,3.38,1,99
3,48,40.75595,-73.93075,1,130,7,1,0.06,2,34
1,12,40.68865,-73.9081,0,145,4,40,2.8,1,38
1,12,40.70537,-73.91587,1,47,1,17,0.97,1,0
2,41,40.82349,-73.94193,1,80,3,3,0.05,2,178
1,30,40.64107,-73.95325,1,50,4,3,0.08,2,0
2,15,40.75041,-73.99489,0,300,1,2,0.05,1,0
3,1,40.75537,-73.91648,1,46,4,70,0.93,2,173
1,62,40.67627,-74.00625,1,99,1,58,1.15,1,88
1,20,40.6725,-73.93981,0,98,3,128,3.1,1,342
1,62,40.67798,-74.00787,0,145,1,11,0.49,2,333
1,5,40.68875,-73.92377,1,38,2,39,0.86,3,99
1,17,40.6837,-73.96505,0,125,5,1,0.02,1,0
1,7,40.61576,-73.99166,1,125,2,4,0.07,2,0
3,23,40.7698,-73.87183,0,150,1,29,3.32,1,360
1,12,40.70433,-73.92652,1,55,3,6,0.14,1,0
2,50,40.71975,-73.98608,0,225,1,2,0.06,1,0
1,59,40.67225,-73.97357,0,160,5,16,0.4,1,11
2,27,40.72354,-73.98295,0,195,3,30,0.28,1,248
3,33,40.73437,-73.8502,0,278,3,9,0.39,6,0
3,32,40.76818,-73.8276,0,188,1,85,3.52,1,151
1,59,40.68326,-73.97796,0,600,6,7,0.36,1,42
